measurement_no,specimen_no,record_type,n_measured,position,measurement_type,average,min,max
22889,11362,mea,1,,width,37.28,,
22890,11363,mea,1,,length,26.49,,
22891,11363,mea,1,,width,29.12,,
22892,11364,mea,1,,width,36,,
22893,11364,mea,1,,length,41.58,,
22894,11365,mea,1,,width,33.51,,
22895,11365,mea,1,,length,44.51,,
22896,11366,mea,1,,width,23.18,,
22897,11366,mea,1,,length,18.56,,
22898,11367,mea,1,,width,21.82,,
22899,11367,mea,1,,length,17.73,,
22900,11368,mea,1,,width,30.44,,
22901,11368,mea,1,,length,24.09,,
22902,11369,mea,1,,width,16.02,,
22903,11369,mea,1,,length,10.22,,
22904,11370,mea,1,,width,37,,
22905,11370,mea,1,,length,29.05,,
22906,11371,mea,1,,width,16.56,,
22907,11371,mea,1,,length,19.59,,
22908,11372,mea,1,,width,18.09,,
22909,11372,mea,1,,length,20.05,,
22910,11373,mea,1,,width,17.14,,
22911,11373,mea,1,,length,20.13,,
22912,11374,mea,1,,width,15.05,,
22913,11374,mea,1,,length,18.35,,
22914,11375,mea,1,,width,20.24,,
22915,11375,mea,1,,length,22.21,,
22916,11376,mea,1,,width,19.34,,
22917,11376,mea,1,,length,25.19,,
22918,11377,mea,1,,width,21.65,,
22919,11377,mea,1,,length,18.78,,
22920,11378,mea,1,,width,30.71,,
22921,11378,mea,1,,length,22.21,,
22922,11379,mea,1,,width,44.78,,
22923,11379,mea,1,,length,23.34,,
22924,11380,mea,1,,width,33.19,,
22925,11380,mea,1,,length,19.78,,
22926,11381,mea,1,,width,29.29,,
22927,11381,mea,1,,length,16.69,,
22928,11382,mea,1,,width,30.36,,
22929,11382,mea,1,,length,22.03,,
22930,11383,mea,1,,width,39.89,,
22931,11383,mea,1,,length,20.68,,
22932,11384,mea,1,,width,35.02,,
22933,11384,mea,1,,length,19.69,,
22934,11385,mea,1,,width,30.48,,
22935,11385,mea,1,,length,15.83,,
22936,11386,mea,1,,width,32.08,,
22937,11386,mea,1,,length,15.31,,
22938,11387,mea,1,,length,29.09,,
22939,11387,mea,1,,width,35.75,,
22940,11388,mea,1,,length,22.75,,
22941,11388,mea,1,,width,22.93,,
22942,11389,mea,1,,width,27.78,,
22943,11389,mea,1,,length,37.76,,
22944,11390,mea,1,,width,24.06,,
22945,11390,mea,1,,length,32.13,,
22946,11391,mea,1,,width,27.93,,
22947,11391,mea,1,,length,41.95,,
22948,11392,mea,1,,width,30.93,,
22949,11392,mea,1,,length,45.11,,
22950,11393,mea,1,,width,26.23,,
22951,11393,mea,1,,length,37.08,,
22952,11394,mea,1,,width,21.95,,
22953,11394,mea,1,,length,34.84,,
22954,11395,mea,1,,width,24.22,,
22955,11395,mea,1,,length,37.74,,
22956,11396,mea,1,,width,17.66,,
22957,11396,mea,1,,length,27.75,,
22958,11397,mea,1,,width,31.16,,
22959,11397,mea,1,,length,42.74,,
22960,11398,mea,1,,width,31.2,,
22961,11398,mea,1,,length,21.96,,
22962,11399,mea,1,,width,29.29,,
22963,11399,mea,1,,length,20.94,,
22964,11400,mea,1,,width,35.3,,
22965,11400,mea,1,,length,36.34,,
22966,11401,mea,1,,width,31.07,,
22967,11401,mea,1,,length,32.55,,
22968,11402,mea,1,,width,31.96,,
22969,11402,mea,1,,length,26.35,,
22970,11403,mea,1,,width,30.65,,
22971,11403,mea,1,,length,28.09,,
22972,11404,mea,1,,width,28.8,,
22973,11404,mea,1,,length,27.66,,
22974,11405,mea,1,,width,25.09,,
22975,11405,mea,1,,length,23.71,,
22976,11406,mea,1,,width,21.74,,
22977,11406,mea,1,,length,26.65,,
22978,11407,mea,1,,length,22.73,,
22979,11407,mea,1,,width,33.92,,
22980,11408,mea,1,,length,26.71,,
22981,11408,mea,1,,width,29.66,,
22982,11409,mea,1,,length,21.81,,
22983,11409,mea,1,,width,24.06,,
22984,11410,mea,1,,length,18.75,,
22985,11410,mea,1,,width,24.35,,
22986,11411,mea,1,,length,28.33,,
22987,11411,mea,1,,width,33.6,,
22988,11412,mea,1,,length,31.1,,
22989,11412,mea,1,,width,35.86,,
22990,11413,mea,1,,length,21.67,,
22991,11413,mea,1,,width,27.04,,
22992,11414,mea,1,,width,34.55,,
22993,11414,mea,1,,length,25.19,,
22994,11415,mea,1,,width,34.86,,
22995,11415,mea,1,,length,24.97,,
22996,11416,mea,1,,width,52.71,,
22997,11416,mea,1,,length,37.82,,
22998,11417,mea,1,,width,35.03,,
22999,11417,mea,1,,length,31.67,,
23000,11418,mea,1,,width,31.53,,
23001,11418,mea,1,,length,28.08,,
23002,11419,mea,1,,width,30.76,,
23003,11419,mea,1,,length,27.37,,
23004,11420,mea,1,,width,29.09,,
23005,11420,mea,1,,length,23.17,,
23006,11421,mea,1,,width,35.58,,
23007,11421,mea,1,,length,31.4,,
23008,11422,mea,1,,width,27.17,,
23009,11422,mea,1,,length,23.5,,
23010,11423,mea,1,,width,38.98,,
23011,11423,mea,1,,length,28.4,,
23012,11424,mea,1,,width,33.72,,
23013,11424,mea,1,,length,25.72,,
23014,11425,mea,1,,length,26.02,,
23015,11425,mea,1,,width,34.83,,
23016,11426,mea,1,,length,24.05,,
23017,11426,mea,1,,width,27.08,,
23018,11427,mea,1,,width,27.5,,
23019,11427,mea,1,,length,23.07,,
23020,11428,mea,1,,width,27.15,,
23021,11428,mea,1,,length,22.71,,
23022,11429,mea,1,,width,47.01,,
23023,11429,mea,1,,length,33.83,,
23024,11430,mea,1,,length,33.12,,
23025,11430,mea,1,,width,35.33,,
23026,11431,mea,1,,length,26.57,,
23027,11431,mea,1,,width,23.69,,
23028,11432,mea,1,,length,28.94,,
23029,11432,mea,1,,width,25.43,,
23030,11433,mea,1,,length,30.9,,
23031,11433,mea,1,,width,26.88,,
23032,11434,mea,1,,length,20.63,,
23033,11434,mea,1,,width,24.76,,
23034,11435,mea,1,,length,19.94,,
23035,11435,mea,1,,width,19.06,,
23036,11436,mea,1,,length,22.32,,
23037,11436,mea,1,,width,21.22,,
23038,11437,mea,1,,length,32.87,,
23039,11437,mea,1,,width,36.68,,
23040,11438,mea,1,,width,35.41,,
23041,11438,mea,1,,length,34.16,,
23042,11439,mea,1,,width,35.04,,
23043,11439,mea,1,,length,27.79,,
23044,11440,mea,1,,length,34.98,,
23045,11441,mea,1,,width,20.45,,
23046,11441,mea,1,,length,19.09,,
23047,11442,mea,1,,length,21.8,,
23048,11442,mea,1,,width,23.03,,
23049,11443,mea,1,,length,22.18,,
23050,11443,mea,1,,width,19.85,,
23051,11444,mea,1,,length,21.49,,
23052,11444,mea,1,,width,27.22,,
23053,11445,mea,1,,width,36.48,,
23054,11445,mea,1,,length,30.8,,
23055,11446,mea,1,,width,28.14,,
23056,11446,mea,1,,length,24.7,,
23057,11447,mea,1,,width,31.46,,
23058,11447,mea,1,,length,17.98,,
23059,11448,mea,1,,width,18.54,,
23060,11448,mea,1,,length,9.64,,
23061,11449,mea,1,,length,25.14,,
23062,11449,mea,1,,width,43.43,,
23063,11450,mea,1,,length,16.52,,
23064,11450,mea,1,,width,28.79,,
23065,11451,mea,1,,length,22.04,,
23066,11451,mea,1,,width,38.1,,
23067,11452,mea,1,,length,18.5,,
23068,11452,mea,1,,width,32.23,,
23069,11453,mea,1,,length,16.94,,
23070,11453,mea,1,,width,33.68,,
23071,11454,mea,1,,length,33.3,,
23072,11454,mea,1,,width,58.81,,
23073,11455,mea,1,,length,14.04,,
23074,11455,mea,1,,width,27.13,,
23075,11456,mea,1,,width,24.39,,
23076,11456,mea,1,,length,21.49,,
23077,11457,mea,1,,width,22.51,,
23078,11457,mea,1,,length,23.18,,
23079,11458,mea,1,,width,39.61,,
23080,11458,mea,1,,length,30.24,,
23081,11459,mea,1,,width,29.62,,
23082,11459,mea,1,,length,33.08,,
23083,11460,mea,1,,width,47.08,,
23084,11460,mea,1,,length,36.24,,
23085,11461,mea,1,,length,19.43,,
23086,11461,mea,1,,width,27.89,,
23087,11462,mea,1,,length,22.8,,
23088,11462,mea,1,,width,32.2,,
23089,11463,mea,1,,length,22.18,,
23090,11463,mea,1,,width,24.93,,
23091,11464,mea,1,,length,22.18,,
23092,11464,mea,1,,width,25.44,,
23093,11465,mea,1,,length,21.7,,
23094,11465,mea,1,,width,28.56,,
23095,11466,mea,1,,length,23.07,,
23096,11466,mea,1,,width,28.45,,
23097,11467,mea,1,,width,21.84,,
23098,11467,mea,1,,length,17.85,,
23099,11468,mea,1,,width,22.23,,
23100,11468,mea,1,,length,16.33,,
23101,11469,mea,1,,width,32.97,,
23102,11469,mea,1,,length,29.16,,
23103,11470,mea,1,,width,39.71,,
23104,11470,mea,1,,length,31.84,,
23105,11471,mea,1,,width,33.86,,
23106,11471,mea,1,,length,30.26,,
23107,11472,mea,1,,width,41.8,,
23108,11472,mea,1,,length,32.72,,
23109,11473,mea,1,,length,34.97,,
23110,11473,mea,1,,width,38.53,,
23111,11474,mea,1,,width,46.78,,
23112,11474,mea,1,,length,24.87,,
23113,11475,mea,1,,width,44.93,,
23114,11475,mea,1,,length,23.85,,
23115,11476,mea,1,,width,44.55,,
23116,11476,mea,1,,length,23.68,,
23117,11477,mea,1,,width,46.78,,
23118,11477,mea,1,,length,24.01,,
23193,11514,mea,1,,height,84.3,,
23194,11514,mea,1,,length,57.1,,
23195,11515,mea,1,,height,59.6,,
23196,11516,mea,1,,length,18.1,,
23197,11516,mea,1,,height,19.1,,
23198,11517,mea,1,,length,63.1,,
23199,11517,mea,1,,height,69.6,,
23200,11518,mea,1,,length,50.6,,
23201,11518,mea,1,,height,54.1,,
23202,11519,mea,1,,width,19,,
23203,11519,mea,1,,length,39.2,,
23204,11519,mea,1,,height,37.2,,
23205,11520,mea,1,,length,30.6,,
23206,11520,mea,1,,height,26.5,,
23207,11521,mea,1,,width,7.9,,
23208,11521,mea,1,,height,15.6,,
23305,11575,mea,1,,height,22,,
23306,11575,mea,1,,length,33,,
25580,12716,mea,1,,length,10,,
25581,12716,mea,1,,width,3.1,,
28623,14299,mea,1,,width,17,,
28624,14299,mea,1,,height,7,,
28625,14300,mea,1,,height,32.61,,
28626,14301,mea,1,,height,32.81,,
28708,14346,mea,1,,width,8.5,,
28709,14346,mea,1,,length,19.2,,
28710,14347,mea,1,,width,8,,
28711,14347,mea,1,,length,19,,
28712,14348,mea,1,,width,9.5,,
28713,14348,mea,1,,length,20,,
33472,17059,mea,1,,length,0.381,,
33473,17060,mea,1,,length,0.40216,,
33474,17061,mea,1,,length,0.42862,,
33475,17062,mea,1,,length,0.45508,,
33476,17063,mea,1,,length,0.47625,,
33477,17064,mea,1,,length,0.47625,,
33478,17065,mea,1,,length,0.52387,,
33479,17066,mea,1,,length,0.52916,,
33480,17067,mea,1,,length,0.56091,,
33481,17068,mea,1,,length,0.59266,,
33482,17069,mea,1,,length,0.59795,,
33483,17070,mea,1,,length,0.60854,,
33484,17071,mea,1,,length,0.60854,,
33485,17072,mea,1,,length,0.6297,,
33486,17073,mea,1,,length,0.68791,,
33487,17074,mea,1,,length,0.6985,,
33488,17075,mea,1,,length,0.73025,,
33489,17076,mea,1,,length,0.75141,,
33490,17077,mea,1,,length,0.89429,,
33491,17078,mea,1,,length,0.92075,,
33492,17079,mea,1,,length,1.11654,,
33493,17080,mea,1,,length,1.16945,,
33494,17081,mea,1,,length,1.16945,,
33495,17082,mea,1,,length,1.3282,,
33496,17083,mea,1,,length,1.43933,,
33497,17084,mea,1,,length,1.48695,,
33498,17085,mea,1,,length,1.60866,,
33499,17086,mea,1,,length,2.07962,,
33500,17087,mea,1,,length,2.37595,,
33501,17088,mea,1,,length,2.43416,,
33502,17089,mea,1,,length,2.5347,,
33503,17090,mea,1,,length,2.95275,,
33504,17091,mea,1,,length,3.51366,,
33505,17092,mea,1,,length,0.28575,,
33506,17093,mea,1,,length,0.29104,,
33507,17094,mea,1,,length,0.29104,,
33508,17095,mea,1,,length,0.29104,,
33509,17096,mea,1,,length,0.29633,,
33510,17097,mea,1,,length,0.29633,,
33511,17098,mea,1,,length,0.29633,,
33512,17099,mea,1,,length,0.30691,,
33513,17100,mea,1,,length,0.3122,,
33514,17101,mea,1,,length,0.3122,,
33515,17102,mea,1,,length,0.3175,,
33516,17103,mea,1,,length,0.3175,,
33517,17104,mea,1,,length,0.3175,,
33518,17105,mea,1,,length,0.32279,,
33519,17106,mea,1,,length,0.32279,,
33520,17107,mea,1,,length,0.32808,,
33521,17108,mea,1,,length,0.32808,,
33522,17109,mea,1,,length,0.33337,,
33523,17110,mea,1,,length,0.33337,,
33524,17111,mea,1,,length,0.33866,,
33525,17112,mea,1,,length,0.33866,,
33526,17113,mea,1,,length,0.33866,,
33527,17114,mea,1,,length,0.33866,,
33528,17115,mea,1,,length,0.33866,,
33529,17116,mea,1,,length,0.33866,,
33530,17117,mea,1,,length,0.34395,,
33531,17118,mea,1,,length,0.34395,,
33532,17119,mea,1,,length,0.34395,,
33533,17120,mea,1,,length,0.34395,,
33534,17121,mea,1,,length,0.34395,,
33535,17122,mea,1,,length,0.34395,,
33536,17123,mea,1,,length,0.35454,,
33537,17124,mea,1,,length,0.35983,,
33538,17125,mea,1,,length,0.35983,,
33539,17126,mea,1,,length,0.37041,,
33540,17127,mea,1,,length,0.37041,,
33541,17128,mea,1,,length,0.381,,
33542,17129,mea,1,,length,0.38629,,
33543,17130,mea,1,,length,0.38629,,
33544,17131,mea,1,,length,0.38629,,
33545,17132,mea,1,,length,0.40216,,
33546,17133,mea,1,,length,0.40745,,
33547,17134,mea,1,,length,0.40745,,
33548,17135,mea,1,,length,0.41275,,
33549,17136,mea,1,,length,0.41275,,
33550,17137,mea,1,,length,0.41804,,
33551,17138,mea,1,,length,0.42333,,
33552,17139,mea,1,,length,0.42333,,
33553,17140,mea,1,,length,0.42333,,
33554,17141,mea,1,,length,0.42333,,
33555,17142,mea,1,,length,0.42862,,
33556,17143,mea,1,,length,0.42862,,
33557,17144,mea,1,,length,0.42862,,
33558,17145,mea,1,,length,0.42862,,
33559,17146,mea,1,,length,0.42862,,
